Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,4096,1,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,2048,1,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,4096,1,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,128,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,128,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,128,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,256,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,256,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,256,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,512,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,512,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,512,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,1024,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,1024,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,1024,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,2048,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-14B-Instruct,2048,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,128,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,128,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,128,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,256,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,256,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,256,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,512,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,512,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,512,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,1024,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,1024,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,1024,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,2048,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,2048,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,128,1024,8,2048,sonnet,1800,128,,
