Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,Qwen/Qwen2.5-32B,2048,65536,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,2048,131072,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen2.5-32B,2048,262144,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,8192,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,16384,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,32768,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,65536,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,131072,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,262144,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,8192,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,16384,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,32768,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,65536,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,131072,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,262144,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,8192,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,16384,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,32768,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,65536,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,131072,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,262144,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,8192,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,16384,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,32768,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,65536,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,131072,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,262144,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,2048,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,2048,8192,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,2048,16384,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,2048,32768,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,2048,65536,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,2048,131072,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,2048,262144,8,2048,sonnet,1800,128,,
